date,open,high,low,close,volume
2017-12-28,177.27,178.09,175.491,177.84,268284
2017-12-29,178.97,180.24,175.73,176.0,347944
2018-01-02,176.67,181.565,176.67,179.81,483759
2018-01-03,179.64,179.64,176.13,177.64,467924
2018-01-04,177.86,181.05,175.92,180.6,560034
2018-01-05,181.0,185.815,180.1,185.36,1036757
2018-01-08,186.09,186.99,184.27,185.73,1443923
2018-01-09,164.0,167.5,157.15,157.95,5310442
2018-01-10,155.39,160.89,153.38,158.99,2427410
2018-01-11,158.17,160.5,157.3083,159.85,1325139
2018-01-12,159.8,161.27,157.84,158.74,1436819
2018-01-16,160.12,164.32,159.4,160.59,1894247
2018-01-17,161.2,165.23,161.2,163.8,1018942
2018-01-18,163.73,165.71,160.34,161.49,1310797
2018-01-19,161.48,164.78,161.48,163.15,802369
2018-01-22,163.01,166.6,161.44,165.7,600460
2018-01-23,165.37,167.92,164.91,166.72,623812
2018-01-24,167.82,170.32,165.03,166.89,717344
2018-01-25,167.42,167.937,164.425,167.07,570745
2018-01-26,167.79,169.1,166.7,168.42,671485
2018-01-29,167.73,168.25,163.05,163.58,448661
2018-01-30,162.4,163.3,158.28,158.34,772211
2018-01-31,159.25,159.88,153.24,154.44,882499
2018-02-01,153.8,154.85,151.51,153.66,796297
2018-02-02,152.32,153.07,149.041,149.95,719873
2018-02-05,148.76,150.0,144.15,145.22,677374
2018-02-06,142.0,150.0,142.0,148.91,1142218
2018-02-07,147.98,150.67,147.98,148.07,813480
2018-02-08,148.15,148.77,145.215,145.41,636929
2018-02-09,146.95,148.62,141.77,147.05,560887
2018-02-12,148.07,152.92,146.92,150.49,562623
2018-02-13,149.51,150.91,147.8934,148.87,335084
2018-02-14,146.63,152.08,146.4,151.67,367776
2018-02-15,152.28,155.17,152.2045,153.49,386222
2018-02-16,153.12,154.24,151.12,151.14,336452
2018-02-20,150.57,151.4,148.11,148.81,443007
2018-02-21,148.98,150.35,147.55,147.58,596493
2018-02-22,148.36,149.27,145.63,146.3,531410
2018-02-23,147.15,147.99,144.87,146.56,304762
2018-02-26,147.48,148.95,144.54,148.49,539819
2018-02-27,148.56,150.395,145.52,145.55,385127
2018-02-28,146.5,146.735,142.51,142.58,820653
2018-03-01,142.84,147.75,141.68,146.79,871250
2018-03-02,145.19,147.86,143.46,146.97,495214
2018-03-05,147.21,151.01,145.63,149.84,519050
2018-03-06,150.85,154.52,149.92,154.2,625350
2018-03-07,151.89,153.14,146.03,146.8,820449
2018-03-08,147.43,152.45,146.39,151.76,671630
2018-03-09,153.27,153.27,150.06,152.69,416436
2018-03-12,152.62,153.94,150.42,150.81,358176
2018-03-13,151.53,152.02,149.01,151.09,329368
2018-03-14,151.95,152.48,148.28,148.87,239996
2018-03-15,149.17,150.43,148.26,149.84,427911
2018-03-16,149.53,150.84,148.64,150.13,561939
2018-03-19,149.94,149.97,147.8,149.36,378989
2018-03-20,149.17,149.17,145.64,146.73,414916
2018-03-21,147.0,149.08,146.87,147.04,540010
2018-03-22,139.2,141.44,133.09,134.66,1863752
2018-03-23,134.36,134.63,131.64,132.4,968139
2018-03-26,134.93,138.27,133.83,137.67,492353
2018-03-27,137.69,138.85,135.4,135.95,448302
2018-03-28,135.0,138.28,134.54,137.01,563334
2018-03-29,137.98,140.9,137.98,139.19,932542
2018-04-02,138.16,139.34,134.29,136.67,743031
2018-04-03,137.03,137.03,131.73,134.78,1014565
2018-04-04,123.86,131.88,119.0215,129.48,3620683
2018-04-05,131.07,135.21,129.69,133.21,1482627
2018-04-06,132.23,135.84,129.665,131.83,988275
2018-04-09,132.61,133.59,129.35,129.46,891167
2018-04-10,131.25,131.98,128.72,130.17,784633
2018-04-11,129.4,131.91,129.4,129.91,730745
2018-04-12,130.24,132.14,129.11,131.18,793644
2018-04-13,132.05,132.74,130.4,130.8,530236
2018-04-16,131.35,131.9299,128.03,130.52,786966
2018-04-17,131.13,133.54,130.31,132.03,532651
2018-04-18,132.14,133.48,131.21,131.26,617504
2018-04-19,131.29,131.47,128.48,128.79,713784
2018-04-20,128.47,129.63,127.5,127.93,708553
2018-04-23,127.39,130.0524,126.81,128.82,849100
2018-04-24,130.29,131.245,125.86,126.3,755079
2018-04-25,126.24,127.33,125.59,126.8,773376
